file_name,text,avg_logprob
RSP_101_audio.wav,ช่วยร่าง Script โทรนัดดูห้องเช่าหน่อยถามข้อมูลสำคัญให้ครบแล้ว เผื่อทางเลือกนัดเวลาให้สัก 2-3 ช่วง,-0.07365337
RSP_106_audio.wav,ช่วยวางแผนการทดลองง่าย ๆ ที่บ้านให้เด็กเข้าใจเรื่องการกระเจินของแสงที่ทำให้ฟ้าเป็นสีฟ้าหน่อยสิ,-0.04148438
RSP_108_audio.wav,วิเคราะห์ปัจจัยสำคัญที่ทำให้กรุงศรีอยุธยารุ่งเรืองและล่มสลายสรุปให้เห็นภาพหน่อยครับ,-0.05560981
RSP_109_audio.wav,ถ้าจะพิมพ์ชิ้นส่วนที่ต้องทนแรงกระแทก ควรเลือกใช้เครื่องพิมพ์ 3D ประเภทไหน และเพราะอะไรครับ,-0.02347819
RSP_107_audio.wav,ทฤษฎี Big Bang กับทฤษฎีสภาวะคมที่อันไหนน่าเชื่อถือกว่าการช่วยอธิบายจุดแข็งจุดอ่อนของแต่ละทฤษฎีหน่อย,-0.04168837
RSP_100_audio.wav,ใบขับขี่ผมจะหมดอายุอีก 6 เดือนแต่ต้องไปต่างประเทศ 1 ปีช่วยวางแผนหน่อยว่าควรต่อล่วงหน้าหรือกลับมาต่อดีกว่ากันครับ,-0.03017685
RSP_072_audio.wav,ช่วยวางแผนต่อรองราคารถหน่อยครับ สมมุติเต็มตั้งไว้สูงกว่าตลาด 20% ควรเริ่มที่เท่าไหร่ดี,-0.04992187
RSP_086_audio.wav,อยากชวนเพื่อนไปดูงานสินวันเสาร์บ่ายช่วยแนะนำที่ที่เดินทางง่ายด้วย BTSและมีกิจกรรมอื่นให้ทำต่อได้เลย,-0.04522027
RSP_081_audio.wav,จากฟอร์มเมื่อคืนช่วยวิเคราะห์หน่อยสิว่า แท็กติกของทีมเราจะสู้กับคู่แข่งในนัดหน้าไหวไหมใครคือคีย์แมนที่ต้องจับตา,-0.05990954
RSP_075_audio.wav,ถ้าจะคุยเรื่องวัฒนธรรมไทยกับเพื่อนต่างชาติควรเริ่มจากหัวข้อในดีระหว่างอาหารกับเทศกาลช่วยวิเคราะห์ข้อดีข้อเสียให้หน่อยครับ,-0.02505580
